Frame #,# Obj,X,Y,Z,Doppler,Intensity
111,23,0,2.4512,-0.22266,0,131
111,23,0,2.498,-0.20117,0,102
111,23,0.080078,2.5391,-0.51953,0,97
111,23,0.076172,2.4297,-0.39063,0.77059,219
111,23,0.078125,2.4746,-0.38477,0.77059,181
111,23,0.076172,2.3945,-0.31641,1.0275,234
111,23,0.076172,2.4375,-0.33398,1.0275,433
111,23,0,2.4805,-0.35352,1.0275,339
111,23,0.076172,2.4102,-0.16602,1.2843,219
111,23,0.076172,2.4531,-0.18555,1.2843,402
111,23,0.078125,2.4961,-0.18555,1.2843,302
111,23,0.076172,2.3047,-0.72461,-0.51373,161
111,23,0.076172,2.3691,-0.66211,-0.51373,254
111,23,0.078125,2.416,-0.6543,-0.51373,199
111,23,0.16016,2.416,-0.79883,-0.51373,217
111,23,0.080078,2.4746,-0.77148,-0.51373,258
111,23,0.16406,2.5313,-0.71875,-0.51373,171
111,23,0,2.3555,-0.54688,-0.25686,194
111,23,0,2.4102,-0.5,-0.25686,300
111,23,0.078125,2.459,-0.46875,-0.25686,222
111,23,0.16016,2.4609,-0.64258,-0.25686,197
111,23,0.16211,2.5215,-0.58008,-0.25686,284
111,23,0.16406,2.5703,-0.56445,-0.25686,242
112,3,0.41797,2.5957,-0.52344,0.25686,130
112,3,0.16211,2.5391,-0.50391,-0.25686,137
112,3,0.16406,2.5879,-0.47461,-0.25686,145
113,3,0.23828,2.3457,-0.96875,0,80
113,3,0.23828,2.4805,-0.54102,0.25686,193
113,3,0.16211,2.5566,-0.40625,0.25686,186
114,5,0.23828,2.5156,-0.33984,0.25686,186
114,5,0.16211,2.5703,-0.31055,0.25686,215
114,5,0.16406,2.6035,-0.38477,0.25686,160
114,5,0.25195,2.6543,-0.27734,0.25686,146
114,5,0.16211,2.5137,-0.61328,-0.25686,151
116,4,0.072266,2.2969,-0.38086,1.5412,212
116,4,0.14844,2.3418,-0.35938,1.5412,193
116,4,0.072266,2.3105,-0.28516,1.798,201
116,4,0.14844,2.3555,-0.25391,1.798,194
117,9,0.16016,2.4746,-0.58789,0,83
117,9,0.24219,2.5547,-0.37695,0,109
117,9,0.16211,2.5723,-0.29297,0.25686,175
117,9,0.16406,2.6152,-0.29883,0.25686,130
117,9,0.076172,2.4453,-0.27539,0.77059,132
117,9,0.23828,2.4082,-0.80078,-0.25686,193
117,9,0.24219,2.4688,-0.75195,-0.25686,177
117,9,0.33008,2.5234,-0.6875,-0.25686,108
117,9,-0.66016,1.7168,1.8906,-0.25686,56
121,2,0.23828,2.4258,-0.74609,-0.25686,125
121,2,0.24219,2.457,-0.78906,-0.25686,147
122,4,0.16211,2.459,-0.80469,0,81
122,4,0.16406,2.5293,-0.73047,0,89
122,4,0.16211,2.5234,-0.57422,0.25686,163
122,4,0.16406,2.5586,-0.61328,0.25686,154
123,2,0.16406,2.5371,-0.70313,0.25686,130
123,2,0.25195,2.6133,-0.54492,0.25686,125
124,10,0.080078,2.5,-0.68555,0,115
124,10,0.082031,2.5527,-0.6543,0,121
124,10,0.080078,2.5,-0.49219,0.25686,136
124,10,0.080078,2.5469,-0.48438,0.25686,348
124,10,0.082031,2.5938,-0.4668,0.25686,368
124,10,0.083984,2.6484,-0.41211,0.25686,175
124,10,0,2.5645,-0.37891,0.51373,131
124,10,0,2.6055,-0.41016,0.51373,133
124,10,0.16211,2.4805,-0.73828,-0.25686,155
124,10,0.16406,2.5215,-0.75781,-0.25686,166
125,1,0.16797,2.5723,-0.73438,0.25686,106
150,15,0,2.418,-0.45508,0,84
150,15,0.16211,2.5547,-0.41406,0,80
150,15,0.41797,2.6055,-0.47266,0.25686,112
150,15,0.078125,2.4746,-0.37891,-0.77059,205
150,15,0.080078,2.5273,-0.32813,-0.77059,179
150,15,0.076172,2.4277,-0.40039,-0.51373,303
150,15,0.078125,2.4805,-0.3418,-0.51373,402
150,15,0.080078,2.5352,-0.25,-0.51373,279
150,15,0,2.3633,-0.50586,-0.25686,120
150,15,0.076172,2.4219,-0.43359,-0.25686,301
150,15,0.078125,2.4805,-0.33789,-0.25686,320
150,15,0,2.5039,-0.48242,-0.25686,170
150,15,0.16211,2.4219,-0.91211,-0.25686,155
150,15,0.16406,2.498,-0.83008,-0.25686,147
150,15,0.16016,2.5176,-0.37305,-0.25686,167
151,5,0.16016,2.498,-0.48633,0.25686,146
151,5,0.16211,2.5469,-0.46094,0.25686,203
151,5,0.16406,2.6055,-0.37695,0.25686,160
151,5,0.24219,2.4512,-0.80859,-0.25686,113
151,5,0.16406,2.4941,-0.8418,-0.25686,118
154,3,0.24805,2.5762,-0.50195,0.25686,152
154,3,0.33594,2.6289,-0.4043,0.25686,134
154,3,0.41797,2.5215,-0.80664,-0.25686,164
155,9,0.076172,2.3613,-0.51367,0,96
155,9,0.076172,2.4082,-0.5,0,101
155,9,0.076172,2.4414,-0.30469,0.51373,219
155,9,0.078125,2.4863,-0.29492,0.51373,193
155,9,0,2.4551,-0.18164,0.77059,160
155,9,0,2.498,-0.1875,0.77059,133
155,9,0.076172,2.3086,-0.71289,-0.25686,210
155,9,0.076172,2.3633,-0.68164,-0.25686,226
155,9,0.078125,2.4121,-0.66992,-0.25686,121
156,18,0.076172,2.3828,-0.40039,0,101
156,18,0.076172,2.4414,-0.29492,0,122
156,18,0.076172,2.3809,-0.41602,-1.798,210
156,18,0.076172,2.4258,-0.40625,-1.798,253
156,18,0.076172,2.4004,-0.2832,-1.5412,379
156,18,0.076172,2.4453,-0.27344,-1.5412,474
156,18,0.078125,2.4902,-0.25781,-1.5412,252
156,18,0.076172,2.4023,-0.25195,-1.2843,372
156,18,0.076172,2.4473,-0.25391,-1.2843,466
156,18,0.078125,2.4941,-0.22266,-1.2843,249
156,18,0.076172,2.3965,-0.31055,-1.0275,304
156,18,0.076172,2.4414,-0.30469,-1.0275,388
156,18,0.078125,2.4902,-0.26172,-1.0275,215
156,18,0.076172,2.4063,-0.22266,-0.77059,167
156,18,0.076172,2.4492,-0.22266,-0.77059,212
156,18,0,2.332,-0.63672,-0.25686,200
156,18,0.076172,2.4023,-0.52539,-0.25686,234
156,18,0.078125,2.457,-0.48242,-0.25686,135
157,4,0.16211,2.5039,-0.65234,0,90
157,4,0.16406,2.5215,-0.75195,0,96
157,4,0.16211,2.5684,-0.32422,0.25686,172
157,4,0.16406,2.5879,-0.48242,0.25686,170
160,1,0.24219,2.5566,-0.35742,-0.25686,120
161,10,0.080078,2.3398,-1.1133,0,98
161,10,0.16406,2.4746,-0.89844,0,131
161,10,0.16797,2.5645,-0.76367,0,91
