Frame #,# Obj,X,Y,Z,Doppler,Intensity
137,12,0,2.6523,-0.79297,0,103
137,12,0,2.7305,-0.67578,0,227
137,12,0.089844,2.7988,-0.56836,0,221
137,12,0.25977,2.7285,-0.39258,0.25686,103
137,12,0.35156,2.7559,-0.44531,0.25686,173
137,12,0.35742,2.7949,-0.47656,0.25686,188
137,12,0.17578,2.6523,-0.92188,-0.51373,252
137,12,0.17773,2.7109,-0.88281,-0.51373,236
137,12,0.085938,2.666,-0.74414,-0.25686,253
137,12,0.17578,2.7207,-0.68945,-0.25686,501
137,12,0.17773,2.7793,-0.63477,-0.25686,472
137,12,0.089844,2.8418,-0.57227,-0.25686,197
138,5,0.17578,2.7266,-0.67188,0,94
138,5,0.17773,2.7793,-0.63867,0,106
138,5,0.25977,2.7383,-0.31641,0.25686,102
138,5,0.26367,2.7637,-0.44727,0.25686,169
138,5,0.35742,2.791,-0.49609,0.25686,160
142,18,0.24219,2.582,-0.050781,0,117
142,18,0.24805,2.623,-0.091797,0,118
142,18,0.25977,2.7188,-0.46094,0.25686,155
142,18,0.17578,2.7773,-0.41602,0.25686,183
142,18,0.26758,2.8262,-0.32617,0.25686,154
142,18,0.49414,2.5684,-0.33984,-1.5412,169
142,18,0.50195,2.6113,-0.33398,-1.5412,160
142,18,0.57617,2.5703,-0.12109,-1.2843,125
142,18,0.32422,2.5098,-0.56836,-0.77059,148
142,18,0.33008,2.5645,-0.51758,-0.77059,154
142,18,0.23828,2.5059,-0.4043,-0.51373,165
142,18,0.32422,2.5449,-0.37891,-0.51373,416
142,18,0.33008,2.5898,-0.375,-0.51373,427
142,18,0.33594,2.6348,-0.36328,-0.51373,182
142,18,0.23828,2.5293,-0.20898,-0.25686,144
142,18,0.24219,2.5723,-0.22461,-0.25686,362
142,18,0.24805,2.6152,-0.22461,-0.25686,370
142,18,0.33594,2.6543,-0.17383,-0.25686,154
143,9,0.17383,2.7305,-0.43164,0,97
143,9,0.17578,2.7715,-0.44727,0,123
143,9,0.17773,2.8184,-0.42773,0,88
143,9,0.16992,2.7129,-0.1875,0.25686,119
143,9,0.17383,2.7598,-0.14648,0.25686,286
143,9,0.17578,2.8008,-0.1875,0.25686,340
143,9,0.17773,2.8398,-0.25,0.25686,219
143,9,0.25977,2.7344,-0.35352,-0.25686,118
143,9,0.26367,2.7637,-0.45313,-0.25686,129
146,2,0.089844,2.8301,-0.37305,0.25686,155
146,2,0.26758,2.8027,-0.48438,-0.25686,112
147,8,-0.4043,2.5332,-0.37891,1.0275,114
147,8,-0.33008,2.5938,-0.33984,1.0275,215
147,8,-0.33594,2.6445,-0.29297,1.0275,172
147,8,-0.4043,2.5488,-0.25,1.2843,198
147,8,-0.41211,2.5957,-0.22461,1.2843,284
147,8,-0.41797,2.6426,-0.17188,1.2843,183
147,8,-0.48633,2.5469,-0.072266,1.5412,151
147,8,-0.41211,2.6035,-0.0625,1.5412,168
148,14,-0.33984,2.6289,-0.62891,0,104
148,14,-0.25977,2.6875,-0.61719,0,101
148,14,-0.33594,2.6113,-0.50391,0.25686,102
148,14,-0.25586,2.6699,-0.48047,0.25686,221
148,14,-0.17383,2.7344,-0.4043,0.25686,238
148,14,-0.087891,2.7852,-0.38281,0.25686,133
148,14,-0.41797,2.6211,-0.37695,0.51373,349
148,14,-0.42578,2.666,-0.37305,0.51373,584
148,14,-0.3457,2.7305,-0.30273,0.51373,440
148,14,-0.26367,2.793,-0.19727,0.51373,159
148,14,-0.50195,2.623,-0.23242,0.77059,317
148,14,-0.42578,2.6855,-0.17969,0.77059,522
148,14,-0.43359,2.7324,-0.12109,0.77059,360
148,14,-0.42578,2.6914,-0.037109,1.0275,119
149,4,0,2.7559,-0.25977,0.25686,181
149,4,-0.087891,2.8066,-0.16211,0.25686,159
149,4,-0.24414,3.8867,0.36328,0.25686,126
149,4,-0.60547,2.4277,-1.1855,0.25686,159
150,5,-0.17383,2.7168,-0.50586,0,87
150,5,-0.17578,2.7656,-0.48047,0,117
150,5,-0.25977,2.709,-0.50977,0.25686,245
150,5,-0.26367,2.7715,-0.40039,0.25686,325
150,5,-0.26758,2.8359,-0.22852,0.25686,182
151,3,-0.085938,2.7266,-0.47656,0.25686,119
151,3,-0.087891,2.7793,-0.42188,0.25686,135
151,3,-0.17578,2.6309,-0.98242,-0.25686,100
172,12,0.087891,2.7344,-0.65625,0,140
172,12,0.089844,2.791,-0.60352,0,241
172,12,0.089844,2.8555,-0.50781,0,177
172,12,0.33984,2.6406,-0.58398,0.25686,79
172,12,0.25977,2.7031,-0.54297,0.25686,96
172,12,0.087891,2.6367,-0.97852,-0.51373,148
172,12,0.089844,2.6816,-0.98242,-0.51373,253
172,12,0.089844,2.7441,-0.93555,-0.51373,181
172,12,0.087891,2.6582,-0.91602,-0.25686,256
172,12,0.17773,2.7441,-0.77344,-0.25686,474
172,12,0.089844,2.8066,-0.72656,-0.25686,352
172,12,-0.68164,1.3281,2.2793,0.25686,40
173,5,0.35156,2.7324,-0.56445,0.25686,112
173,5,0.44727,2.7832,-0.4668,0.25686,107
173,5,0.17383,2.6621,-0.74023,-0.25686,126
173,5,0.17578,2.7031,-0.75586,-0.25686,214
173,5,0.17773,2.7637,-0.69922,-0.25686,181
175,6,0.4043,2.4473,-0.75781,0,103
175,6,0.47852,2.4199,-0.64063,0.25686,162
175,6,0.4043,2.4961,-0.57617,0.25686,203
175,6,0.41211,2.5625,-0.46289,0.25686,114
175,6,-0.48633,1.6582,1.9336,0,52
175,6,-0.57617,1.3359,2.1992,0.25686,58
177,15,0.31836,2.5293,-0.052734,0,196
177,15,0.32422,2.5723,-0.064453,0,287
177,15,0.33008,2.6152,-0.056641,0,181
177,15,0.17383,2.7266,-0.44922,0.25686,178
177,15,0.56641,2.502,-0.37695,-1.0275,151
177,15,0.57617,2.5449,-0.37695,-1.0275,130
177,15,0.47852,2.4766,-0.37305,-0.77059,166
177,15,0.48633,2.5234,-0.3418,-0.77059,300
177,15,0.49414,2.5703,-0.31641,-0.77059,236
177,15,0.39844,2.4863,-0.39453,-0.51373,358
177,15,0.4043,2.5332,-0.38477,-0.51373,536
177,15,0.41211,2.5801,-0.36328,-0.51373,350
177,15,0.31836,2.5156,-0.25195,-0.25686,416
177,15,0.32422,2.5605,-0.25781,-0.25686,616
177,15,0.33008,2.6035,-0.25195,-0.25686,389
178,9,0.17383,2.7578,-0.16992,0.25686,208
178,9,0.26367,2.793,-0.20703,0.25686,241
178,9,0.17773,2.834,-0.30664,0.25686,146
178,9,0.46094,2.4063,-0.23828,-1.5412,205
178,9,0.46875,2.4434,-0.29688,-1.5412,242
