Frame #,# Obj,X,Y,Z,Doppler,Intensity
99,6,0.22656,2.3711,-0.41406,-0.77059,160
99,6,0.23047,2.4063,-0.45898,-0.77059,181
99,6,0.30273,2.3672,-0.38672,-0.51373,265
99,6,0.30859,2.4141,-0.36133,-0.51373,261
99,6,0.37695,2.3574,-0.37695,-0.25686,241
99,6,0.38477,2.4043,-0.36328,-0.25686,196
100,12,0.074219,2.3027,-0.56836,0,116
100,12,0.076172,2.3359,-0.62109,0,227
100,12,0.076172,2.3809,-0.61914,0,196
100,12,0,2.334,-0.43555,0.25686,197
100,12,0,2.3711,-0.4707,0.25686,388
100,12,0,2.4141,-0.48047,0.25686,332
100,12,0.078125,2.4648,-0.4375,0.25686,129
100,12,0,2.3887,-0.37109,0.51373,171
100,12,0,2.4277,-0.40039,0.51373,150
100,12,0.072266,2.3066,-0.31055,-1.0275,124
100,12,0.14844,2.3398,-0.36523,-1.0275,173
100,12,0.074219,2.3535,-0.29883,-0.77059,120
101,7,0,2.4082,-0.20117,0,140
101,7,0.076172,2.4551,-0.1543,0,130
101,7,0.15039,2.3672,-0.46484,-0.51373,210
101,7,0.1543,2.416,-0.44727,-0.51373,211
101,7,0.074219,2.3535,-0.30469,-0.25686,144
101,7,0.076172,2.3906,-0.3457,-0.25686,307
101,7,0.076172,2.4375,-0.33008,-0.25686,284
102,10,0.22656,2.2656,-0.8125,0,93
102,10,0.29688,2.2441,-0.71484,0.25686,174
102,10,0.30273,2.3027,-0.67383,0.25686,231
102,10,0.30859,2.3594,-0.62695,0.25686,138
102,10,0.29688,2.2871,-0.55859,0.51373,408
102,10,0.30273,2.3418,-0.51758,0.51373,560
102,10,0.30859,2.3965,-0.46484,0.51373,339
102,10,0.29688,2.3262,-0.36523,0.77059,238
102,10,0.30273,2.375,-0.33203,0.77059,336
102,10,0.30859,2.4258,-0.2793,0.77059,200
104,8,0.37695,2.375,-0.24609,0,154
104,8,0.38477,2.4199,-0.22266,0,136
104,8,0.30273,2.3555,-0.44922,-0.51373,265
104,8,0.30859,2.3984,-0.45703,-0.51373,261
104,8,0.37109,2.3105,-0.40039,-0.25686,157
104,8,0.37695,2.3574,-0.37305,-0.25686,333
104,8,0.38477,2.4023,-0.36914,-0.25686,307
104,8,0.39063,2.4492,-0.34766,-0.25686,116
105,2,0.1543,2.3984,-0.52734,0.51373,132
105,2,0.1543,2.4395,-0.28125,0.77059,127
106,8,0,2.3828,-0.41211,0,116
106,8,0,2.4414,-0.31836,0,88
106,8,0.14844,2.2813,-0.63477,0.51373,158
106,8,0.14844,2.3125,-0.51172,0.77059,141
106,8,0.23047,2.4375,-0.25781,-0.51373,215
106,8,0,2.3125,-0.53125,-0.25686,142
106,8,0,2.3613,-0.51953,-0.25686,254
106,8,0,2.4355,-0.35352,-0.25686,195
107,11,0.30273,2.2402,-0.85938,0,93
107,11,0.30273,2.3223,-0.60156,0.25686,213
107,11,0.38477,2.3691,-0.54688,0.25686,151
107,11,0.29688,2.3047,-0.48242,0.51373,187
107,11,0.30273,2.3516,-0.47266,0.51373,298
107,11,0.30859,2.4121,-0.38477,0.51373,212
107,11,0.22656,2.3789,-0.36328,0.77059,226
107,11,0.23047,2.4414,-0.19922,0.77059,161
107,11,0.22266,2.3398,-0.32422,-1.2843,158
107,11,0.14844,2.3555,-0.24219,-1.0275,141
107,11,0.15039,2.4023,-0.2207,-1.0275,122
109,9,0.30273,2.3965,-0.083984,0,102
109,9,0.30859,2.4414,-0.078125,0,79
109,9,0.15039,2.377,-0.41016,-1.0275,174
109,9,0.29688,2.3125,-0.44531,-0.51373,182
109,9,0.30273,2.3516,-0.47266,-0.51373,303
109,9,0.38477,2.3906,-0.44141,-0.51373,225
109,9,0.29688,2.3398,-0.26367,-0.25686,174
109,9,0.30273,2.3828,-0.26563,-0.25686,297
109,9,0.30859,2.4277,-0.26172,-0.25686,221
110,6,0.076172,2.4063,-0.50977,0,79
110,6,0.076172,2.375,-0.44922,0.25686,188
110,6,0.076172,2.4238,-0.41602,0.25686,227
110,6,0.078125,2.4766,-0.36523,0.25686,125
110,6,0.076172,2.3809,-0.41406,0.51373,127
110,6,0.076172,2.4297,-0.38281,0.51373,148
111,10,0,2.3477,-0.34961,0,84
111,10,0,2.4023,-0.26563,0,183
111,10,0,2.4492,-0.25195,0,176
111,10,0.14648,2.2578,-0.55273,0.77059,204
111,10,0.14844,2.3105,-0.51953,0.77059,197
111,10,0.15039,2.3633,-0.48828,-0.77059,153
111,10,0.1543,2.4141,-0.45313,-0.77059,161
111,10,0,2.3242,-0.48242,-0.25686,120
111,10,0,2.3672,-0.48828,-0.25686,267
111,10,0,2.4102,-0.50195,-0.25686,243
112,18,0.29688,2.248,-0.70117,0,127
112,18,0.37695,2.2793,-0.70898,0,246
112,18,0.38477,2.3262,-0.70508,0,210
112,18,0.37109,2.2773,-0.55273,0.25686,191
112,18,0.37695,2.3242,-0.54492,0.25686,371
112,18,0.38477,2.373,-0.53125,0.25686,314
112,18,0.3125,2.4219,-0.55664,0.25686,108
112,18,0.30273,2.3457,-0.49805,0.51373,156
112,18,0.30859,2.3906,-0.49609,0.51373,140
