Frame #,# Obj,X,Y,Z,Doppler,Intensity
130,2,0.32422,2.543,-0.39453,0.25686,137
130,2,0.32422,2.4395,-0.81445,-0.25686,101
131,5,0.31836,2.5039,-0.34961,0.25686,130
131,5,0.32422,2.5566,-0.29102,0.25686,270
131,5,0.33008,2.6074,-0.22656,0.25686,270
131,5,0.4043,2.502,-0.55078,-0.25686,183
131,5,0.41211,2.5664,-0.44531,-0.25686,182
132,6,0.32422,2.5703,-0.10742,0.25686,235
132,6,0.41211,2.6035,-0.085938,0.25686,326
132,6,0.33594,2.6543,-0.18555,0.25686,199
132,6,0.32422,2.5293,-0.47266,-0.25686,156
132,6,0.41211,2.5664,-0.44922,-0.25686,214
132,6,0.41797,2.5898,-0.55469,-0.25686,123
133,3,0.33008,2.6152,-0.046875,0.25686,170
133,3,0.33594,2.6582,-0.10938,0.25686,162
133,3,0.33984,2.6855,-0.30664,0.25686,95
134,1,0.33008,2.6133,-0.10742,0.25686,126
138,1,0.33984,2.5313,-0.94922,0.25686,146
139,4,0.42578,2.6406,-0.52344,0.25686,143
139,4,0.3457,2.6777,-0.61523,0.25686,123
139,4,0.24805,2.5996,-0.36133,-0.25686,110
139,4,0.16797,2.5918,-0.66602,-0.25686,126
140,13,0.25195,2.6035,-0.5918,0,157
140,13,0.25586,2.6582,-0.54492,0,197
140,13,0.25977,2.7168,-0.46875,0,116
140,13,0.25195,2.4961,-0.94727,-0.51373,132
140,13,0.25586,2.5566,-0.90625,-0.51373,157
140,13,0.24805,2.5586,-0.58594,-0.25686,97
140,13,0.25195,2.5781,-0.69531,-0.25686,319
140,13,0.25586,2.627,-0.67773,-0.25686,375
140,13,0.25977,2.6934,-0.58594,-0.25686,211
140,13,-0.75391,1.7578,1.877,-0.51373,71
140,13,-0.76563,1.7715,1.9238,-0.51373,85
140,13,-0.74219,1.4199,2.0938,-0.25686,51
140,13,-0.86523,1.4434,2.1992,-0.25686,111
141,17,0.24805,2.5957,-0.39648,0,167
141,17,0.25195,2.6348,-0.43164,0,271
141,17,0.25586,2.6797,-0.42578,0,217
141,17,0.25977,2.7363,-0.33203,0,81
141,17,0.24805,2.4785,-0.86328,-0.77059,168
141,17,0.25195,2.5449,-0.80469,-0.77059,288
141,17,0.25586,2.6016,-0.76953,-0.77059,228
141,17,0.24805,2.5059,-0.78125,-0.51373,363
141,17,0.25195,2.5605,-0.75391,-0.51373,606
141,17,0.16992,2.6172,-0.74023,-0.51373,506
141,17,0.25977,2.6699,-0.68359,-0.51373,207
141,17,0.24219,2.5176,-0.57031,-0.25686,153
141,17,0.16406,2.5527,-0.64063,-0.25686,400
141,17,0.25195,2.5996,-0.60742,-0.25686,630
141,17,0.25586,2.6484,-0.58594,-0.25686,520
141,17,0.25977,2.7012,-0.55273,-0.25686,214
141,17,0.33984,2.6113,-0.70313,-0.51373,506
142,8,0.24805,2.5938,-0.40625,0,103
142,8,0.25195,2.6484,-0.33008,0,151
142,8,0.33984,2.6934,-0.24023,0,115
142,8,0.41211,2.5996,-0.17383,0.25686,116
142,8,0.41797,2.6484,-0.041016,0.25686,230
142,8,0.33984,2.7031,-0.0097656,0.25686,241
142,8,0.24805,2.5117,-0.76172,-0.25686,164
142,8,0.25195,2.5879,-0.65234,-0.25686,141
144,1,0.23828,3.8008,0.35352,-0.25686,205
145,15,0.24219,2.5742,-0.19727,0,167
145,15,0.16406,2.627,-0.15234,0,264
145,15,0.25195,2.666,-0.13672,0,221
145,15,0.33984,2.6758,-0.39258,0,118
145,15,0.20508,2.1875,-0.013672,1.2843,113
145,15,0.14063,2.2363,-0.0039063,1.2843,125
145,15,0.21094,2.2246,0.17969,1.5412,108
145,15,0.32422,2.5117,-0.55469,-0.51373,132
145,15,0.24805,2.5859,-0.45508,-0.51373,214
145,15,0.25195,2.6328,-0.44531,-0.51373,181
145,15,0.24219,2.5527,-0.38867,-0.25686,303
145,15,0.24805,2.6152,-0.23828,-0.25686,476
145,15,0.33594,2.6504,-0.21484,-0.25686,410
145,15,0.42578,2.6465,-0.49414,-0.25686,231
145,15,0.16211,2.5078,-0.63672,-0.51373,131
146,4,0.21094,2.2168,0.25195,0,80
146,4,0.14258,2.2656,0.26172,0,104
146,4,0.21094,2.2305,0.058594,-0.25686,153
146,4,0.21484,2.2734,0.10156,-0.25686,195
147,6,0.16797,2.6719,-0.15625,0,76
147,6,0.20117,2.1367,-0.17578,-1.2843,215
147,6,0.13672,2.1875,-0.16406,-1.2843,194
147,6,0.20117,2.1426,-0.070313,-1.0275,157
147,6,0.13672,2.1934,-0.033203,-1.0275,143
147,6,0.33594,2.6523,-0.19727,-0.25686,155
149,1,0.32422,2.5117,-0.55859,-0.25686,131
150,24,0.24219,2.582,0.03125,0,175
150,24,0.33008,2.6113,0.1582,0,206
150,24,0.16992,2.3086,-1.4375,0,156
150,24,0.17383,2.502,-1.1738,0,145
150,24,0.24805,2.6191,-0.19141,0.25686,249
150,24,0.33594,2.5898,-0.60547,0.25686,463
150,24,0.33984,2.6152,-0.6875,0.25686,644
150,24,0.3457,2.6699,-0.64453,0.25686,479
150,24,0.33594,2.5977,-0.57227,0.51373,303
150,24,0.33984,2.6426,-0.57031,0.51373,469
150,24,0.3457,2.6992,-0.50977,0.51373,343
150,24,0.4043,2.5332,-0.375,-0.51373,171
150,24,0.33008,2.5957,-0.32422,-0.51373,224
150,24,0.41797,2.6113,-0.44336,-0.51373,171
150,24,0.31836,2.5098,-0.32031,-0.25686,175
150,24,0.32422,2.5645,-0.21289,-0.25686,455
150,24,0.33008,2.6113,-0.17188,-0.25686,580
150,24,0.33594,2.6465,-0.26563,-0.25686,416
150,24,0.51172,2.6211,-0.54102,-0.25686,282
150,24,0.60547,2.6211,-0.6582,-0.25686,209
150,24,0.4043,2.5605,0.027344,0,174
150,24,-0.76563,1.9902,1.6953,0,90
150,24,-0.7793,1.8457,1.9121,0,78
150,24,-0.43359,1.7539,2.0996,-0.25686,112
151,12,0.32422,2.5645,-0.20703,0,154
151,12,0.33008,2.6094,-0.19336,0,187
151,12,0.41797,2.6172,-0.39844,0,154
151,12,0.51172,2.6016,-0.63086,0,133
151,12,0.16016,2.4492,-0.6875,0.25686,136
151,12,0.080078,2.459,-0.82227,0.25686,151
151,12,0.21484,2.2734,-0.066406,1.0275,150
151,12,0.48633,2.5469,0.068359,-0.25686,165
151,12,0.41211,2.5977,-0.20117,-0.25686,289
151,12,0.41797,2.5918,-0.54102,-0.25686,316
151,12,0.51172,2.5527,-0.80664,-0.25686,301
151,12,0.51953,2.5742,-0.88086,-0.25686,173
152,3,0.21094,2.2324,-0.023438,-0.77059,206
152,3,0.14258,2.2813,0.0097656,-0.77059,219
152,3,0.23438,2.4277,-0.57031,-0.25686,131
153,5,0.16211,2.5859,-0.089844,0,102
153,5,0.20117,2.1328,-0.22852,-1.5412,169
153,5,0.19727,2.0977,-0.085938,-1.2843,169
153,5,0.13477,2.1484,-0.050781,-1.2843,241
153,5,0.080078,2.5273,-0.57031,-0.25686,162
155,14,0.16016,2.543,-0.052734,0,103
155,14,0.24219,2.5801,-0.099609,0,166
155,14,0.24805,2.623,-0.13086,0,140
155,14,0.33594,2.6504,-0.2168,0,76
155,14,0.23828,2.4492,-0.66797,0.25686,135
155,14,0.24219,2.5078,-0.60938,0.25686,228
155,14,0.24805,2.5918,-0.42383,0.25686,187
155,14,0.16211,2.5352,-0.51758,0.51373,164
155,14,0.24219,2.541,-0.45898,-0.51373,194
155,14,0.24805,2.5957,-0.39648,-0.51373,161
155,14,0.16016,2.5273,-0.2832,-0.25686,263
155,14,0.24219,2.5684,-0.25977,-0.25686,437
155,14,0.24805,2.6172,-0.21094,-0.25686,371
155,14,0.33594,2.6543,-0.18164,-0.25686,194
156,13,0.16211,2.4824,-0.73047,0,116
156,13,0.24805,2.5508,-0.62305,0,106
156,13,0.23828,2.498,-0.44727,0.25686,219
156,13,0.24219,2.541,-0.45313,0.25686,290
156,13,0.24805,2.5918,-0.41797,0.25686,174
156,13,0.16016,2.5098,-0.41016,0.51373,156
156,13,0.16211,2.5566,-0.4082,0.51373,214
156,13,0.24805,2.6094,-0.29492,0.51373,133
156,13,0.47852,2.4473,-0.53125,-0.25686,114
156,13,0.4043,2.5273,-0.41602,-0.25686,116
156,13,0.41211,2.5117,-0.68945,-0.25686,116
156,13,-0.74219,0.74219,2.4199,0.25686,93
156,13,-0.64844,1.166,2.2246,-0.25686,64
157,22,0.3125,2.4258,-0.53906,0,77
157,22,0.23828,2.4688,-0.58984,0,135
157,22,0.16211,2.4961,-0.68164,0,173
157,22,0.16406,2.5098,-0.79297,0,183
157,22,0.25195,2.5469,-0.79688,0,160
157,22,0.16016,2.3887,-0.875,0.25686,204
157,22,0.080078,2.3926,-0.99609,0.25686,275
157,22,0.080078,2.4258,-0.77734,0.51373,354
157,22,0.16211,2.4863,-0.7207,0.51373,726
157,22,0.082031,2.541,-0.70117,0.51373,606
157,22,0.083984,2.6016,-0.64063,0.51373,186
157,22,0.080078,2.459,-0.66602,0.77059,326
157,22,0.080078,2.5156,-0.625,0.77059,752
157,22,0.082031,2.5684,-0.59375,0.77059,745
157,22,0.083984,2.6172,-0.57813,0.77059,314
157,22,0.080078,2.4199,-0.79688,1.0275,168
157,22,0.080078,2.502,-0.67969,1.0275,369
157,22,0.082031,2.5645,-0.60938,1.0275,374
157,22,0.083984,2.6211,-0.55664,1.0275,173
157,22,0.080078,2.5352,-0.53906,1.2843,125
157,22,0.082031,2.5977,-0.44336,1.2843,113
157,22,0.39063,2.3555,-0.76172,-0.25686,110
158,7,0.080078,2.5039,-0.66992,0,92
158,7,0.082031,2.5371,-0.7168,0,148
158,7,0.16797,2.5449,-0.82617,0,114
158,7,0.080078,2.5742,-0.30859,0.25686,190
158,7,0.082031,2.6113,-0.35156,0.25686,264
158,7,0.083984,2.6582,-0.33594,0.25686,172
158,7,0.083984,2.623,-0.55078,0.77059,119
159,4,0.41797,2.5664,-0.65625,0,69
159,4,0.49414,2.5371,-0.52539,-0.25686,144
159,4,0.50195,2.5078,-0.80469,-0.25686,195
159,4,0.51172,2.4629,-1.0488,-0.25686,145
184,6,0.082031,2.4746,-0.9082,0,80
184,6,0.16797,2.5605,-0.77539,0,98
184,6,0.25195,2.6406,-0.38867,0.25686,105
184,6,0.16406,2.4746,-0.89453,-0.25686,212
184,6,0.16797,2.5371,-0.84766,-0.25686,242
184,6,0.16992,2.6035,-0.78711,-0.25686,143
185,22,0.16016,2.5137,-0.39453,0,86
185,22,0.080078,2.5566,-0.42188,0,246
185,22,0.16406,2.6016,-0.40039,0,319
185,22,0.083984,2.6426,-0.43945,0,212
185,22,0.085938,2.6816,-0.48047,0,72
185,22,0.33008,2.6152,0.037109,0.25686,147
185,22,0.33594,2.6602,0.041016,0.25686,138
185,22,0.16211,2.4238,-0.90625,-0.77059,286
185,22,0.16406,2.4883,-0.85938,-0.77059,293
185,22,0.16797,2.5508,-0.81055,-0.77059,144
185,22,0.080078,2.4355,-0.75,-0.51373,248
185,22,0.16211,2.4902,-0.70508,-0.51373,642
185,22,0.16406,2.541,-0.68359,-0.51373,761
185,22,0.16797,2.5879,-0.67969,-0.51373,439
185,22,0.080078,2.4805,-0.57813,-0.25686,200
185,22,0.080078,2.5176,-0.61523,-0.25686,578
185,22,0.16406,2.5742,-0.54883,-0.25686,769
185,22,0.25195,2.625,-0.48828,-0.25686,524
185,22,0.16992,2.6699,-0.51563,-0.25686,180
185,22,-0.9375,0.39453,2.5273,0,39
185,22,0.083984,2.6152,-0.58398,-0.25686,520
185,22,-0.9375,0.91406,2.3906,-0.25686,91
186,11,0.23828,2.4941,-0.4707,0,72
186,11,0.16211,2.5547,-0.41797,0,177
186,11,0.16406,2.6074,-0.35938,0,198
186,11,0.16797,2.6621,-0.27539,0,93
186,11,0.24805,2.623,0.085938,0.25686,180
186,11,0.25195,2.668,-0.082031,0.25686,229
186,11,0.16211,2.4727,-0.76563,-0.51373,185
186,11,0.24805,2.5234,-0.72266,-0.51373,203
186,11,0.16211,2.5059,-0.64844,-0.25686,269
186,11,0.24805,2.5586,-0.5918,-0.25686,356
186,11,0.33594,2.6074,-0.52148,-0.25686,239
187,5,0.16016,2.5098,-0.41602,0,93
187,5,0.16211,2.5664,-0.33789,0,115
187,5,0.23828,2.4961,-0.46094,-0.25686,142
187,5,0.16211,2.5469,-0.45703,-0.25686,190
