Frame #,# Obj,X,Y,Z,Doppler,Intensity
98,4,0.16016,2.457,-0.6582,0.25686,164
98,4,0.24219,2.5059,-0.62109,0.25686,176
98,4,0.16406,2.5488,-0.6543,0.25686,101
98,4,0.16211,2.418,-0.92383,-0.25686,107
99,24,0.23828,2.4551,-0.64453,0,76
99,24,0.32422,2.5078,-0.57617,0,100
99,24,0,2.6367,-0.015625,0,109
99,24,-0.083984,2.6797,-0.017578,0,212
99,24,0,2.7246,0.011719,0,167
99,24,0.23828,2.4824,-0.52539,0.25686,241
99,24,0.24219,2.5488,-0.41406,0.25686,369
99,24,0.24805,2.6094,-0.28711,0.25686,330
99,24,0.16797,2.6699,-0.17578,0.25686,212
99,24,0.24219,2.5664,-0.27734,0.51373,130
99,24,0,2.5879,-0.50586,-1.0275,215
99,24,0,2.6211,-0.5625,-1.0275,325
99,24,-0.085938,2.6602,-0.58789,-1.0275,221
99,24,-0.082031,2.5996,-0.43555,-0.77059,413
99,24,-0.083984,2.6406,-0.45313,-0.77059,620
99,24,-0.085938,2.6875,-0.44336,-0.77059,410
99,24,0,2.6055,-0.40234,-0.51373,363
99,24,0,2.6582,-0.34375,-0.51373,503
99,24,0,2.7051,-0.33008,-0.51373,310
99,24,0.23828,2.377,-0.89063,-0.25686,129
99,24,0.16211,2.4766,-0.74805,-0.25686,224
99,24,0.082031,2.5996,-0.43945,-0.25686,356
99,24,0,2.6641,-0.30469,-0.25686,505
99,24,0.085938,2.709,-0.28125,-0.25686,385
100,12,0.080078,2.5625,-0.39063,0,148
100,12,0.082031,2.6328,-0.12695,0,159
100,12,0.080078,2.4629,-0.65625,0.25686,168
100,12,0.16211,2.5527,-0.42383,0.25686,266
100,12,0.16406,2.6289,-0.14258,0.25686,186
100,12,0.37695,2.3223,-0.55859,-1.0275,120
100,12,0,2.543,-0.50977,-0.77059,232
100,12,0.082031,2.5859,-0.50977,-0.77059,333
100,12,0.083984,2.6309,-0.50586,-0.77059,215
100,12,0,2.541,-0.51367,-0.51373,210
100,12,0.082031,2.6074,-0.38086,-0.51373,257
100,12,-0.82422,0,-2.6191,0.25686,96
101,9,0.16016,2.4805,-0.56641,0,113
101,9,0.16211,2.5352,-0.51758,0,176
101,9,0.16406,2.5938,-0.44727,0,121
101,9,0.16016,2.4805,-0.56641,0.25686,198
101,9,0.24219,2.541,-0.45703,0.25686,304
101,9,0.24805,2.5918,-0.41797,0.25686,205
101,9,0.25586,2.7051,-0.19531,0.25686,124
101,9,0.36328,2.2988,-0.074219,-0.77059,135
101,9,0.12305,3.9004,0.25977,-0.25686,190
102,10,0.16211,2.5645,-0.34961,0.25686,134
102,10,0.16406,2.6035,-0.38281,0.25686,150
102,10,0.16797,2.6563,-0.31836,0.25686,119
102,10,0.41211,2.1582,0.0039063,-1.5412,172
102,10,0.49023,2.1855,0.060547,-1.5412,149
102,10,0.4043,2.1133,0.070313,-1.2843,125
102,10,0.41211,2.1582,0.015625,-1.2843,205
102,10,0.41992,2.2012,0.011719,-1.2843,141
