Frame #,# Obj,X,Y,Z,Doppler,Intensity
124,18,0,2.4141,-0.10742,0,89
124,18,0.076172,2.459,-0.089844,0,135
124,18,0.072266,2.2402,-0.44141,0.25686,145
124,18,0.16211,2.5723,-0.27539,0.25686,187
124,18,0.16406,2.623,-0.20313,0.25686,250
124,18,0.25195,2.668,-0.082031,0.25686,171
124,18,0.34961,3.7188,0.039063,0.25686,228
124,18,0.35352,3.7617,0.060547,0.25686,230
124,18,0.072266,2.2676,-0.27148,0.51373,150
124,18,0.23438,3.7246,0.18164,0.51373,257
124,18,0.23633,3.7656,0.21875,0.51373,258
124,18,0.1543,2.4141,-0.45313,-0.51373,160
124,18,0.23438,2.4648,-0.38477,-0.51373,165
124,18,0,2.3945,-0.33203,-0.25686,175
124,18,0.076172,2.4434,-0.2832,-0.25686,264
124,18,0.15625,2.4902,-0.23242,-0.25686,240
124,18,0.16211,2.5195,-0.58789,-0.25686,170
124,18,0.16406,2.5781,-0.53125,-0.25686,244
125,22,-0.074219,2.3711,-0.025391,0,223
125,22,-0.076172,2.416,-0.0058594,0,251
125,22,-0.076172,2.4609,-0.017578,0,121
125,22,0.074219,2.3184,-0.50391,1.0275,210
125,22,0.15039,2.3711,-0.44922,1.0275,169
125,22,0.22656,2.377,-0.37891,-1.2843,141
125,22,0.22266,2.3516,-0.24023,-1.0275,253
125,22,0.22656,2.3965,-0.22266,-1.0275,501
125,22,0.23047,2.4414,-0.21289,-1.0275,412
125,22,0.23438,2.4863,-0.20508,-1.0275,134
125,22,0.22266,2.3633,-0.029297,-0.77059,197
125,22,0.22656,2.4063,-0.046875,-0.77059,433
125,22,0.1543,2.4551,-0.066406,-0.77059,382
125,22,0.15625,2.498,-0.09375,-0.77059,127
125,22,0,2.3047,-0.33398,-0.51373,129
125,22,-0.074219,2.3477,-0.33789,-0.51373,370
125,22,0,2.3945,-0.33789,-0.51373,412
125,22,0,2.4375,-0.33984,-0.51373,191
125,22,0,2.3223,-0.17773,-0.25686,156
125,22,0,2.3691,-0.13672,-0.25686,480
125,22,0,2.4141,-0.11719,-0.25686,565
125,22,0,2.459,-0.083984,-0.25686,272
126,23,0.30273,2.3262,-0.58008,0,298
126,23,0.30859,2.3789,-0.55078,0,396
126,23,0.3125,2.4297,-0.52344,0,233
126,23,0.22266,2.3086,-0.50195,0.25686,204
126,23,0.22656,2.3555,-0.49023,0.25686,687
126,23,0.23047,2.4023,-0.48633,0.25686,917
126,23,0.23438,2.4473,-0.47852,0.25686,540
