Frame #,# Obj,X,Y,Z,Doppler,Intensity
107,2,0.33008,2.6152,0.058594,0.25686,137
107,2,0.33594,2.6582,-0.080078,0.25686,129
109,1,0.50195,2.6133,-0.33008,0.25686,120
113,8,0.25586,2.5742,-0.85742,0,92
113,8,0.25977,2.6289,-0.82813,0,80
113,8,0.16406,2.6035,-0.38867,0.25686,159
113,8,0.083984,2.584,-0.70703,0.25686,201
113,8,0.16992,2.498,-1.0762,0.25686,170
113,8,0.24219,2.5273,-0.53125,-0.25686,107
113,8,0.24805,2.5684,-0.53906,-0.25686,158
113,8,0.25195,2.6172,-0.52148,-0.25686,144
114,3,0.24805,2.6133,-0.25,0.25686,110
114,3,0.32422,2.5625,-0.22461,-0.25686,145
114,3,0.41211,2.5859,-0.31445,-0.25686,141
115,9,0.25195,2.623,-0.49023,0,79
115,9,0.25586,2.6719,-0.47656,0,137
115,9,0.25977,2.7227,-0.43555,0,112
115,9,0.25195,2.5684,-0.72852,-0.51373,200
115,9,0.25586,2.6172,-0.71484,-0.51373,270
115,9,0.25977,2.6738,-0.66797,-0.51373,171
115,9,0.33594,2.5938,-0.58984,-0.25686,197
115,9,0.25586,2.6406,-0.62109,-0.25686,281
115,9,0.25977,2.6992,-0.5625,-0.25686,200
116,27,0,2.4043,-0.52539,0,103
116,27,0,2.457,-0.48633,0,329
116,27,0.080078,2.5117,-0.42969,0,423
116,27,0,2.5645,-0.38672,0,245
116,27,0.082031,2.5977,-0.44141,0,123
116,27,0.083984,2.6309,-0.50586,0,141
116,27,0.076172,2.4297,-0.38281,0.25686,159
116,27,0.078125,2.4707,-0.41016,0.25686,504
116,27,0.080078,2.5117,-0.42578,0.25686,645
116,27,0.080078,2.5566,-0.42383,0.25686,389
116,27,0.082031,2.5938,-0.47266,0.25686,114
116,27,0.076172,2.4473,-0.25586,0.51373,138
116,27,0.078125,2.4863,-0.29492,0.51373,440
116,27,0.080078,2.5313,-0.29688,0.51373,564
116,27,0.080078,2.5762,-0.27734,0.51373,314
116,27,0,2.498,-0.18164,0.77059,213
116,27,0,2.541,-0.21289,0.77059,264
116,27,0.078125,2.4063,-0.69141,-0.51373,349
116,27,0,2.4492,-0.70703,-0.51373,416
116,27,0.080078,2.5078,-0.6543,-0.51373,221
116,27,0.16797,2.5566,-0.78711,-0.51373,162
116,27,0,2.3848,-0.60547,-0.25686,194
116,27,0.078125,2.4434,-0.54688,-0.25686,588
116,27,0,2.4863,-0.56055,-0.25686,742
116,27,0.080078,2.543,-0.50586,-0.25686,445
116,27,0.082031,2.584,-0.52344,-0.25686,171
116,27,0.25195,2.6113,-0.55273,-0.25686,255
117,12,0.16016,2.5156,-0.37891,0,80
117,12,0.24219,2.5332,-0.49609,0,76
117,12,0.080078,2.5391,-0.21289,-1.0275,229
117,12,0.080078,2.582,-0.21484,-1.0275,184
117,12,0.080078,2.5469,-0.050781,-0.77059,222
117,12,0.080078,2.5918,-0.015625,-0.77059,180
117,12,0.16016,2.498,-0.48242,-0.51373,111
117,12,0.15625,2.4316,-0.58398,-0.25686,121
117,12,0.23828,2.4277,-0.73828,-0.25686,177
117,12,0.32422,2.4434,-0.80664,-0.25686,190
117,12,0.33008,2.5039,-0.75586,-0.25686,100
117,12,-0.66016,1.6445,1.9531,-0.25686,64
118,6,0.16406,2.5273,-0.73438,0.25686,137
118,6,-0.22266,1.1758,2.0508,1.5412,145
118,6,0.32422,2.4824,-0.67188,-0.25686,178
118,6,0.24805,2.5313,-0.69727,-0.25686,217
118,6,0.25195,2.5859,-0.66016,-0.25686,187
118,6,0.66797,2.2637,-0.24805,1.5412,85
119,3,0.16406,2.584,-0.49805,-0.25686,124
119,3,0.25195,2.6113,-0.55273,-0.25686,200
119,3,0.25586,2.6543,-0.55664,-0.25686,126
120,10,0.31836,2.5293,-0.013672,0,165
120,10,0.24219,2.582,0,0,244
120,10,0.33008,2.6152,-0.09375,0,164
120,10,0.23828,2.5352,-0.13672,0.25686,129
120,10,0.24219,2.582,-0.017578,0.25686,182
120,10,0.25195,2.5742,-0.70313,0.25686,120
120,10,0.32422,2.5508,-0.33008,-0.51373,228
120,10,0.31836,2.5176,-0.23242,-0.25686,398
120,10,0.32422,2.5684,-0.16602,-0.25686,578
120,10,0.33008,2.6152,-0.033203,-0.25686,302
121,12,0.31836,2.5254,-0.13477,0,163
121,12,0.32422,2.5703,-0.11328,0,204
121,12,0.33008,2.6133,-0.11133,0,92
121,12,0.31836,2.5273,-0.10352,0.25686,147
121,12,0.32422,2.5703,-0.10352,0.25686,164
121,12,0.31836,2.4941,-0.41602,-0.51373,163
121,12,0.32422,2.543,-0.38672,-0.51373,195
121,12,0.39063,2.4414,-0.4043,-0.25686,131
121,12,0.31836,2.5098,-0.3125,-0.25686,419
121,12,0.32422,2.5566,-0.29297,-0.25686,504
121,12,0.33008,2.6035,-0.26172,-0.25686,209
121,12,-0.54883,1.2832,2.082,-0.25686,68
122,14,0.076172,2.3008,-0.73633,0,91
122,14,0.32422,2.5684,-0.16602,0,112
122,14,0.074219,2.3008,-0.58008,0.25686,167
122,14,0.076172,2.3477,-0.57227,0.25686,196
122,14,0.24219,2.5801,-0.070313,0.25686,171
122,14,0.24805,2.6113,-0.26953,0.25686,191
122,14,0.25195,2.6504,-0.31445,0.25686,151
122,14,0,2.3379,-0.4043,0.51373,134
122,14,0,2.3789,-0.43164,0.51373,154
122,14,0.32422,2.502,-0.60156,-0.51373,127
122,14,0.31836,2.5176,-0.25195,-0.25686,267
122,14,0.32422,2.5469,-0.36133,-0.25686,353
122,14,0.33008,2.5645,-0.51953,-0.25686,277
122,14,0.41797,2.5762,-0.60938,-0.25686,182
123,4,0.31836,2.5254,-0.13281,0.25686,132
123,4,0.32422,2.5605,-0.25781,0.25686,136
123,4,0.31836,2.502,-0.36328,-0.25686,226
123,4,0.32422,2.543,-0.38867,-0.25686,203
125,2,0.25195,2.6309,-0.44531,-0.25686,113
125,2,0.25586,2.6797,-0.41992,-0.25686,106
126,8,0.16406,2.4063,-1.0684,0,90
126,8,0.16797,2.4941,-0.9707,0,110
