Frame #,# Obj,X,Y,Z,Doppler,Intensity
116,7,0.4043,2.5098,-0.51367,0,94
116,7,0.41211,2.5527,-0.51563,0,152
116,7,0.41797,2.6074,-0.46484,0,112
116,7,0.48633,2.5098,-0.43555,0.25686,202
116,7,0.49414,2.5527,-0.44141,0.25686,342
116,7,0.50195,2.6016,-0.4082,0.25686,259
116,7,0.49414,2.5762,-0.27734,0.51373,125
117,14,0.24219,2.5137,-0.58594,0,119
117,14,0.16406,2.5957,-0.44141,0,163
117,14,0.16797,2.6328,-0.47461,0,126
117,14,0.48633,2.4199,-0.79492,0.25686,147
117,14,0.49414,2.5273,-0.57227,0.25686,216
117,14,0.080078,2.377,-1.0313,-0.77059,138
117,14,0.16406,2.4766,-0.89258,-0.77059,213
117,14,0.16797,2.5586,-0.78125,-0.77059,154
117,14,0.080078,2.4336,-0.89063,-0.51373,308
117,14,0.082031,2.5059,-0.81836,-0.51373,469
117,14,0.16797,2.582,-0.70313,-0.51373,343
117,14,0.080078,2.4805,-0.75391,-0.25686,260
117,14,0.16406,2.541,-0.68359,-0.25686,422
117,14,0.16797,2.5996,-0.63086,-0.25686,327
118,6,0.41211,2.5742,-0.39844,0.25686,126
118,6,0.33594,2.6523,-0.19141,0.25686,155
118,6,0.16406,2.5625,-0.59766,-0.51373,161
118,6,0.083984,2.625,-0.54102,-0.51373,206
118,6,0.16406,2.6055,-0.36914,-0.25686,185
118,6,0.083984,2.666,-0.26758,-0.25686,196
119,9,0.36328,2.1348,-0.85742,-1.2843,149
119,9,0.35742,2.1387,-0.72461,-1.0275,236
119,9,0.36328,2.1855,-0.72266,-1.0275,314
119,9,0.37109,2.2363,-0.70313,-1.0275,212
119,9,0.35742,2.1855,-0.5625,-0.77059,162
119,9,0.29102,2.2461,-0.54688,-0.77059,224
119,9,0.29688,2.291,-0.54492,-0.77059,150
119,9,0.23828,2.502,-0.42969,-0.25686,170
119,9,0.24219,2.5664,-0.28125,-0.25686,144
120,3,0.48047,2.0957,-0.45313,-1.0275,190
120,3,0.49023,2.1406,-0.44922,-1.0275,217
120,3,0.35938,3.8027,-0.16016,-0.25686,172
122,2,0.16211,2.5684,-0.32617,0.25686,116
122,2,0.16406,2.5996,-0.41602,0.25686,148
123,8,0.24805,2.6055,-0.31836,0,99
123,8,0.25195,2.6504,-0.31445,0,97
123,8,0.23828,2.4961,-0.45898,0.25686,132
123,8,0.39063,2.3477,-0.78516,-0.25686,111
123,8,0.31836,2.4258,-0.71484,-0.25686,154
123,8,0.4043,2.4707,-0.67578,-0.25686,122
123,8,0.49414,2.5332,-0.53711,-0.25686,126
123,8,0.41797,2.6152,-0.41211,-0.25686,119
124,16,0.32422,2.5098,-0.5625,0,150
124,16,0.49414,2.5547,-0.42773,0,223
124,16,0.58594,2.5977,-0.3125,0,162
124,16,0.24805,2.6191,-0.17188,0.25686,169
124,16,0.25195,2.6484,-0.33398,0.25686,149
124,16,-0.34961,2.2051,-0.20898,1.0275,179
124,16,-0.35742,2.2539,-0.13477,1.0275,142
124,16,0.57617,2.4375,-0.82422,-0.51373,196
124,16,0.58594,2.4766,-0.8457,-0.51373,147
124,16,0.39063,2.3984,-0.60547,-0.25686,153
124,16,0.39844,2.4395,-0.62109,-0.25686,222
124,16,0.48633,2.4492,-0.70117,-0.25686,302
124,16,0.49414,2.502,-0.67383,-0.25686,462
124,16,0.58594,2.5371,-0.63672,-0.25686,337
124,16,0.48633,2.5176,-0.39258,0,150
124,16,-0.25195,1.5332,-2.1855,0,95
125,11,0.48633,2.5156,-0.39844,0,96
125,11,0.57617,2.5586,-0.26953,0,127
125,11,0.080078,2.5801,-0.23633,0.25686,135
125,11,0.16406,2.6191,-0.26172,0.25686,270
125,11,0.16797,2.668,-0.20703,0.25686,188
125,11,0,3.8105,0.32031,0.51373,197
125,11,0,3.8516,0.35352,0.51373,154
125,11,0.56641,2.3906,-0.82617,-0.25686,194
125,11,0.49414,2.5078,-0.65039,-0.25686,311
125,11,0.41797,2.5977,-0.51758,-0.25686,168
125,11,-0.24805,1.7422,-1.9648,0,87
126,5,0.16211,2.5215,-0.58398,0,101
126,5,0.24805,2.5781,-0.5,0,132
126,5,0.32422,2.543,-0.39258,-0.25686,200
126,5,0.41211,2.5352,-0.5957,-0.25686,270
126,5,0.33594,2.5469,-0.76953,-0.25686,207
127,8,0.23828,2.5254,-0.25195,0.25686,127
127,8,0.080078,2.4219,-0.91992,0.25686,129
127,8,0.24805,2.5547,-0.60547,0.25686,122
127,8,0.39063,2.416,-0.53125,-0.25686,111
127,8,0.31836,2.498,-0.39844,-0.25686,190
127,8,0.41211,2.4922,-0.75781,-0.25686,196
127,8,0.25195,2.5918,-0.64258,-0.25686,186
127,8,-0.62695,1.4121,1.9727,-0.25686,56
128,9,0.16211,2.3789,-1.0195,0.25686,120
128,9,0.16406,2.5352,-0.70313,0.25686,295
128,9,0.16797,2.5957,-0.65234,0.25686,234
128,9,0.16406,2.5723,-0.56055,0.51373,166
128,9,0.16797,2.627,-0.51172,0.51373,128
128,9,0.3125,2.4688,-0.28711,-0.25686,136
128,9,0.31836,2.5273,-0.11523,-0.25686,183
128,9,0.33008,2.5078,-0.74805,-0.25686,222
128,9,0.33594,2.6035,-0.54297,-0.25686,221
129,8,0.16406,2.4688,-0.91406,0,126
129,8,0.25195,2.5508,-0.78516,0,127
129,8,0.24219,2.5352,-0.48828,0.25686,144
129,8,0.16406,2.5488,-0.65234,0.25686,269
129,8,0.25195,2.582,-0.67383,0.25686,234
129,8,0.16406,2.5762,-0.53711,0.51373,122
129,8,0.48633,2.4941,-0.51953,-0.25686,115
129,8,0.49414,2.5293,-0.55469,-0.25686,132
131,3,0.4043,2.4941,-0.57813,0.25686,132
131,3,0.33008,2.5605,-0.54102,0.25686,156
131,3,0.33594,2.6016,-0.55078,0.25686,98
132,5,0.16406,2.5469,-0.66211,0,114
132,5,0.083984,2.5879,-0.69922,0,98
132,5,0.16211,2.4375,-0.87109,-0.25686,108
132,5,0.082031,2.4961,-0.84766,-0.25686,214
132,5,0.083984,2.5449,-0.83984,-0.25686,180
133,3,0.16211,2.4219,-0.91211,-0.25686,103
133,3,0.16406,2.502,-0.81445,-0.25686,159
133,3,0.16797,2.5703,-0.74609,-0.25686,117
153,11,0.16211,2.5332,-0.52734,0,122
153,11,0.16406,2.5762,-0.53906,0,163
153,11,0.25195,2.6133,-0.54297,0,93
153,11,0.3125,2.4492,-0.42188,0.25686,141
153,11,0.31836,2.4902,-0.44141,0.25686,180
153,11,0.080078,2.5098,-0.64844,-0.51373,127
153,11,0.082031,2.5625,-0.61914,-0.51373,129
153,11,0.23828,2.4063,-0.80664,-0.25686,142
153,11,0.080078,2.5215,-0.59961,-0.25686,226
153,11,0.082031,2.5957,-0.45703,-0.25686,269
153,11,0.083984,2.6582,-0.3418,-0.25686,134
154,12,0.080078,2.5508,-0.45898,0,102
154,12,0.16406,2.6094,-0.3457,0,104
154,12,0.16211,2.457,-0.81641,-0.77059,158
154,12,0.24805,2.5078,-0.77734,-0.77059,179
154,12,0.16016,2.4824,-0.55859,-0.51373,144
154,12,0.16211,2.5059,-0.64648,-0.51373,332
154,12,0.16406,2.5566,-0.62695,-0.51373,370
154,12,0.16797,2.6133,-0.57617,-0.51373,207
154,12,0.080078,2.541,-0.18555,-0.25686,119
154,12,0.080078,2.5371,-0.5332,-0.25686,243
154,12,0.082031,2.584,-0.51758,-0.25686,242
154,12,0.083984,2.6406,-0.45898,-0.25686,138
155,4,0.29102,2.2402,-0.56836,-1.2843,173
155,4,0.22266,2.2773,-0.62891,-1.2843,177
155,4,0.29102,2.2676,-0.44727,-1.0275,184
155,4,0.29688,2.3066,-0.4707,-1.0275,188
156,6,0.31836,2.5215,-0.19336,0.25686,149
156,6,0.41797,2.5996,-0.50977,0.25686,128
